id;contract_number;card_type;plastic_status;virtual_status;credit_limit;workflow_type;created_at;acquisition_channel;company_type;business_dni_type;business_website;business_foundation_year;city;department;bureau_score;banked_type1;banked_type2;hard_credit_check;number_saving_accounts;number_saving_accounts_alert;bureau_debt;bureau_debt_default;number_current_loans;number_current_loans_default;sherlock_anomaly;sherlock_distrust;sherlock_operator;sherlock_reactivate;sherlock_banked;sherlock_collection;emailage_eascore;onboarding_income;dian_income;lc_judicial_proceedings_against;number_shareholders;tier;os;economic_activity_description;economic_activity_group;number_employees;mora_ultimos_6meses;moroso
39;17;BUSINESS;ACTIVE;ACTIVE;30000;FAMILY_AND_FRIENDS;10/09/21 8:54;INTERNET;SAS;NIT;no tiene;2014;Envigado;Antioquia;531;1;1;2;3;0;0;0;0;0;0.65;0.48;claro;FALSE;0;0;746;;;;3;;Windows;;;67;0;0
44;21;BUSINESS;CANCELED;CANCELED;10000;FAMILY_AND_FRIENDS;10/09/21 15:35;COMMERCIAL_ALLY;SAS;NIT;no tiene;2014;Medellín;Antioquia;674;0;0;2;2;0;0;0;0;0;0.34;0.32;claro;FALSE;0;0;580;;;;6;;Windows;;;42;102;1
22;9;BUSINESS;PENDING_ACTIVATION;ACTIVE;30000;FAMILY_AND_FRIENDS;23/07/21 16:26;INTERNET;SAS;NIT;no tiene;2014;Medellín;Antioquia;669;1;1;3;3;0;0;0;0;0;0.36;0.47;claro;FALSE;0;0;694;;;;4;;Windows;;;48;0;0
18;10;BUSINESS;ACTIVE;ACTIVE;30000;FAMILY_AND_FRIENDS;23/07/21 11:56;INTERNET;SA;NIT;no tiene;2014;Medellín;Antioquia;764;0;0;3;1;0;0;0;0;0;0.57;0.38;claro;FALSE;0;0;409;;;;2;;Windows;;;33;16;1
40;19;BUSINESS;ACTIVE;ACTIVE;20000;FAMILY_AND_FRIENDS;10/09/21 10:19;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2014;Medellín;Antioquia;660;1;1;3;2;0;0;0;0;0;0.7;0.62;claro;FALSE;0;0;385;;;0;2;;Windows;;;80;5;0
42;20;BUSINESS;REPLACED;REPLACED;20000;FAMILY_AND_FRIENDS;10/09/21 10:59;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2014;Medellín;Antioquia;633;1;1;2;3;0;0;0;0;0;0.57;0.59;claro;FALSE;0;0;706;;;0;3;;Windows;;;36;0;0
76;50;BUSINESS;ACTIVE;ACTIVE;10000;FAMILY_AND_FRIENDS;1/10/21 18:13;SOCIAL_NETWORKS;SAS;NIT;no tiene;2015;Bogotá;Bogotá;630;1;1;3;1;0;0;0;0;0;0.38;0.51;claro;FALSE;0;0;621;;;;2;;Windows;;;62;0;0
113;71;BUSINESS;ACTIVE;ACTIVE;20000;FAMILY_AND_FRIENDS;12/10/21 18:34;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2015;Medellín;Antioquia;800;1;1;2;3;0;0;0;0;0;0.63;0.46;claro;FALSE;0;0;575;;;0;2;;Windows;;;32;0;0
80;52;BUSINESS;ACTIVE;ACTIVE;20000;FAMILY_AND_FRIENDS;7/10/21 13:49;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2015;Medellín;Antioquia;682;1;1;3;2;0;0;0;0;0;0.67;0.47;claro;FALSE;0;0;430;;;;1;;Windows;;;16;0;0
106;68;BUSINESS;ACTIVE;ACTIVE;20000;FAMILY_AND_FRIENDS;11/10/21 16:09;FRIEND_OR_COLLEAGUE;SAS;NIT;no tiene;2015;Envigado;Antioquia;753;1;1;2;2;0;0;0;0;0;0.41;0.6;claro;FALSE;0;0;414;;;0;1;;Windows;;;53;0;0
